segmentid,road_label,from_street,to_street,length_miles,crashes,deaths,serious_injuries,first_year,last_year,max_match_distance_ft
38224,BROADWAY,McCullough Ave,6TH ST,0.07308910039475384,1,0,1,2023,2023,0.2
38484,S ALAMO ST,E GUENTHER ST,BRIDGE,0.058871592960166745,1,0,1,2018,2018,1.5
38769,S ALAMO ST,BEAUREGARD,MISSION ST,0.07839276163534414,1,0,1,2017,2017,0.2
39456,N MITTMAN ST,GULF ST,DAWSON ST,0.032132080977788365,1,0,1,2019,2019,0.1
39942,MIDCROWN DR,GAWAIN DR,CHARLES WINDHAM,0.15161322205780844,1,0,1,2023,2023,0.0
40035,W AMBER,PLEASANTON RD,OPPENHEIMER AVE,0.10715115323041116,1,0,1,2024,2024,0.8
41442,ADAMS HILL DR,PETERSBURG,SAN LUCAS,0.055022317739428735,1,0,1,2022,2022,5.9
41656,S FLORES ST,E HARDING BLVD,GENEVIEVE DR,0.11153073668689852,1,0,1,2025,2025,4.3
42059,SALTILLO ST,SW 19TH ST,SW 18TH ST,0.06706766657733829,1,0,1,2018,2018,5.5
42158,W HARDING BLVD,NOCK AVE,LOGWOOD AVE,0.10501821071884808,1,0,1,2022,2022,0.1
42324,CULEBRA RD,HORTENCIA ST,DOLORES AVE,0.07095692698728841,1,0,1,2016,2016,5.6
42518,W WOODLAWN,ST CLOUD,BANDERA RD,0.2390104187281933,1,0,1,2020,2020,4.5
42594,MISSION RD,99TH ST,ASHLEY RD,0.7299140421087568,1,0,1,2020,2020,4.0
42706,HISTORIC OLD HWY 90,W CESAR CHAVEZ BLVD,SW 36TH ST,0.20392117441392457,1,0,1,2024,2024,1.5
43120,W WOODLAWN,S JOSEPHINE TOBIN,KAMPMANN BLVD,0.15033687120941963,1,0,1,2018,2018,0.4
43255,SAN PEDRO AVE,W GRAMERCY PLACE,FULTON AVE,0.03445781473251118,1,0,1,2023,2023,0.6
43437,W COMMERCE ST,NW 24TH ST,NW 25TH ST,0.07799940811001262,1,0,1,2022,2022,4.3
43847,S SAN GABRIEL,W CESAR CHAVEZ BLVD,SAN FERNANDO ST,0.10205351655785945,1,0,1,2024,2024,0.0
43984,N FLORES ST,W MYRTLE ST,HICKMAN ST,0.1044798384877152,1,0,1,2018,2018,10.0
44351,E HOUSTON ST,N ST MARYS,NAVARRO ST,0.09701855299446957,1,0,1,2024,2024,2.6
44695,CALLAGHAN RD,MUIRFIELD,GREENSBORO,0.08962576354648208,1,0,1,2024,2024,3.8
45123,BOLING BROOK,HONEYTREE LN,LEMON TREE,0.05768667160925862,1,0,1,2019,2019,1.0
45314,CASTROVILLE RD,ROMERO,ROMERO,0.01415891847312775,1,0,1,2017,2017,3.0
45615,TEXAS AVE,PEACOCK AVE,WILSON BLVD,0.06660148008035569,1,0,1,2017,2017,2.7
45931,S TRINITY,TORREON,EL PASO ST,0.03803293726632137,1,0,1,2021,2021,0.0
46270,TIMBER PATH,GRISSOM RD,MEADOW TRACE,0.10975697222931684,1,0,1,2022,2022,2.2
47565,THOUSAND OAKS,TBD,TBD,0.012998950577941624,1,0,1,2019,2019,8.4
47685,W WOODLAWN,N ELMENDORF,SAN ANTONIO AVE,0.13018497359511005,1,0,1,2020,2020,2.1
48148,IH 35 N,TBD,TBD,0.272375835582236,1,0,1,2022,2022,32.7
48554,AUSTIN HWY,WALZEM RD,NE LOOP 410 ACCESS RD,0.23486740560984987,1,0,1,2024,2024,8.6
51114,AUSTIN HWY,BOBBY LOU,WALZEM RD,0.04462777948097906,1,0,1,2020,2020,3.4
51572,AUSTIN HWY,PERRIN BEITEL,BOBBY LOU,0.0862224957595319,1,0,1,2018,2018,2.2
52401,S WW WHITE RD,HOLMGREEN RD,BERNADINE DR,0.11976690037963621,1,0,1,2023,2023,5.1
52461,SW MILITARY DR,COMMERCIAL AVE,BURTON,0.12057735960069459,1,0,1,2022,2022,24.2
52476,NOGALITOS ST,PRUITT,DRAKE AVE,0.034833600883006785,1,0,1,2024,2024,3.0
52788,SW MILITARY DR,TACOMA AVE,COMMERCIAL AVE,0.10085606130474027,1,0,1,2024,2024,1.0
53954,ROOSEVELT AVE,HUIZAR ST,SE MILITARY DR,0.132509866659764,1,0,1,2017,2017,0.6
54092,SE MILITARY DR,ROOSEVELT AVE,MISSION RD,0.4593319883042721,1,0,1,2023,2023,0.8
54768,S WW WHITE RD,SEA BREEZE,LAKEWOOD DR,0.05824657403644881,1,0,1,2025,2025,2.1
55024,BANDERA RD,E SKYVIEW,CLOUDCROFT DR,0.07955643744326489,1,0,1,2020,2020,14.2
56061,FREDERICKSBURG RD,TBD,TBD,0.12817611333703607,1,0,1,2020,2020,26.4
56120,BANDERA RD,WILLARD DR,SUTTON,0.034575820726101686,1,0,1,2016,2016,0.6
56258,BANDERA RD,WESTMINSTER,EPWORTH,0.028993098211264782,1,0,1,2023,2023,3.9
56460,BANDERA RD,EMBASSY,W WOODLAWN,0.15675818937813912,1,0,1,2018,2018,3.2
56598,FREDERICKSBURG RD,DE CHANTLE,GARDINA ST,0.16546720059596778,1,0,1,2024,2024,3.1
57053,IH 35 S,TBD,TBD,0.10517489585206267,1,0,1,2024,2024,5.0
57115,IH 35 N,TBD,TBD,0.32755759649541444,1,0,1,2022,2022,22.7
58092,BANDERA RD,WILDFLOWER,TBD,0.19709598847211138,1,0,1,2023,2023,9.0
58916,FREDERICKSBURG RD,TBD,TBD,0.16793318807381896,1,0,1,2022,2022,7.8
59282,FREDERICKSBURG RD,FULTON AVE,W KINGS HWY,0.08951956004172251,1,0,1,2022,2022,0.9
60731,UTSA BLVD,UNIVERSITY PASS,IH 10 W ACCESS RD,0.3460338302818235,1,0,1,2021,2021,4.2
63190,ROOSEVELT AVE,HERBST,SE LOOP 410 ACCESS RD,0.24123674951755222,1,0,1,2024,2024,9.1
68092,WALZEM RD,TBD,TBD,0.013128559857193143,1,0,1,2021,2021,10.6
68302,CLUB HOUSE BLVD,DEL LAGO PKWY,COURSE VIEW DR,0.559171832592043,1,0,1,2024,2024,2.9
69606,IH 10 W ACCESS RD,TBD,TBD,0.027218322738823464,1,0,1,2016,2016,5.6
71138,IH 35 S,TBD,TBD,0.10819027024781969,1,0,1,2016,2016,36.0
71223,ROOSEVELT AVE,TBD,TBD,0.17723580307664377,1,0,1,2025,2025,0.5
71320,IH 35 N,TBD,TBD,0.4105548505895214,1,0,1,2018,2018,16.0
71490,IH 35 S,TBD,TBD,0.09776952072767509,1,0,1,2021,2021,32.7
71677,NE LOOP 410,TBD,TBD,0.0211848207446021,1,0,1,2025,2025,7.8
71819,WURZBACH PKWY,TBD,TBD,0.5990242048838976,1,0,1,2022,2022,9.5
72517,PERRIN BEITEL,TBD,TBD,0.010142617394244737,1,0,1,2017,2017,16.1
72687,US HWY 281 N,TBD,TBD,0.3809713272229774,1,0,1,2024,2024,5.2
72949,CULEBRA RD,TBD,TBD,0.019306563250654763,1,0,1,2024,2024,32.2
73285,NE LOOP 410,TBD,TBD,0.3144894183001168,1,0,1,2018,2018,27.4
74433,IH 10 E,TBD,TBD,0.06952559937339317,1,0,1,2018,2018,33.7
74460,IH 10 W,TBD,TBD,0.28862514494630476,1,0,1,2020,2020,29.7
75158,IH 10 W,TBD,TBD,0.05895807318722342,1,0,1,2017,2017,21.0
77139,IH 35 S,TBD,TBD,0.4999113605650458,1,0,1,2024,2024,23.2
77288,CULEBRA RD,TBD,TBD,0.37380593556877184,1,0,1,2016,2016,0.9
77324,BANDERA RD,ZACHRY DR,W LIGUSTRUM,0.22629123770055334,1,0,1,2018,2018,1.9
78109,NW LOOP 410,TBD,TBD,0.397181693887459,1,0,1,2024,2024,18.0
79571,FM 1560 N,TBD,TBD,0.08840102441143553,1,0,1,2023,2023,2.2
80297,IH 10 E,TBD,TBD,0.4812739222606857,1,0,1,2016,2016,22.0
80739,W COMMERCE ST,S RICHTER ST,S COLORADO ST,0.0688746207266783,1,0,1,2019,2019,0.2
81462,S GENERAL MCMULLEN,EL PASO ST,JEWETT,0.0332880363078989,1,0,1,2019,2019,5.3
81614,N GENERAL MCMULLEN,CULEBRA RD,BLUERIDGE,0.1927856671864679,1,0,1,2019,2019,8.9
81729,CULEBRA RD,REED RD,PIPERS CRK,0.06360258712848621,1,0,1,2017,2017,1.1
81824,SW MILITARY DR,TACOMA AVE,ESCALON AVE,0.1055408014436571,1,0,1,2018,2018,19.5
81927,SE MILITARY DR,SNYDER ST,CURTIS ST,0.1345905921427538,1,0,1,2025,2025,17.5
82027,BABCOCK RD,Louis Pasteur Dr,E BEVERLY MAE DR,0.05416930725945364,1,0,1,2016,2016,16.1
82169,S WW WHITE RD,TBD,TBD,0.056290492240853085,1,0,1,2023,2023,1.5
82830,W HAUSMAN RD,BRIDGE,JV Bacon Pkwy,0.23286615566358687,1,0,1,2025,2025,6.4
83261,UTSA BLVD,BABCOCK RD,DREW KAY DR,0.05880565268894303,1,0,1,2022,2022,1.2
84573,Oconnor Rd,INDEPENDENCE AVE,CROSSWINDS WAY,0.0832831395314491,1,0,1,2022,2022,3.6
