street,location_note,lat_cell,lon_cell,crashes,deaths,serious_injuries,first_year,last_year
E HOUSTON ST,approximate half-mile map cell; raw count,29.425,-98.49,1,0,1,2024,2024
E PYRON RD,approximate half-mile map cell; raw count,29.36,-98.496,1,0,1,2016,2016
E RECTOR DR,approximate half-mile map cell; raw count,29.515,-98.49,1,0,1,2023,2023
E SOUTHCROSS BLVD,approximate half-mile map cell; raw count,29.37,-98.484,1,0,1,2024,2024
EISENHAUER RD,approximate half-mile map cell; raw count,29.495,-98.394,1,0,1,2025,2025
ENRIQUE M BARRERA PKWY,approximate half-mile map cell; raw count,29.425,-98.574,1,0,1,2024,2024
EVERS RD,approximate half-mile map cell; raw count,29.48,-98.592,1,0,1,2016,2016
FAIR AVE,approximate half-mile map cell; raw count,29.38,-98.472,1,0,1,2023,2023
FAIRMEADOWS LN,approximate half-mile map cell; raw count,29.335,-98.562,1,0,1,2022,2022
FIVE PALMS DR,approximate half-mile map cell; raw count,29.335,-98.604,1,0,1,2022,2022
FRAN FRAN ST,approximate half-mile map cell; raw count,29.395,-98.532,1,0,1,2021,2021
FREDERICKSBURG RD,approximate half-mile map cell; raw count,29.45,-98.52,1,0,1,2016,2016
FREDERICKSBURG RD,approximate half-mile map cell; raw count,29.475,-98.544,1,0,1,2024,2024
FRESNO,approximate half-mile map cell; raw count,29.47,-98.52,1,0,1,2016,2016
FRESNO ST,approximate half-mile map cell; raw count,29.47,-98.508,1,0,1,2016,2016
HAYS ST,approximate half-mile map cell; raw count,29.43,-98.478,1,0,1,2025,2025
HEARTLAND DR,approximate half-mile map cell; raw count,29.585,-98.382,1,0,1,2017,2017
HEATHRIDGE,approximate half-mile map cell; raw count,29.51,-98.694,1,0,1,2022,2022
HICKMAN,approximate half-mile map cell; raw count,29.445,-98.508,1,0,1,2018,2018
HORIZON HILL BLVD,approximate half-mile map cell; raw count,29.51,-98.562,1,0,1,2023,2023
JONES MALTSBERGER RD,approximate half-mile map cell; raw count,29.555,-98.466,1,0,1,2024,2024
