Crash ID,year,latitude,longitude,deaths,serious_injuries,radius_m,cluster
19419926,2023,29.44475822,-98.47770736,0,1,250,-1
19464306,2023,29.404766,-98.55699587,1,0,250,-1
19468366,2023,29.43041497,-98.48518232,0,1,250,-1
19491636,2023,29.38414498,-98.46725412,0,1,250,-1
19497412,2023,29.50886351,-98.38049952,0,1,250,-1
19525527,2023,29.50297165,-98.72794342,0,1,250,-1
19529028,2023,29.35308607,-98.47458261,0,1,250,-1
19530268,2023,29.34144924,-98.55623709,1,0,250,-1
19544238,2023,29.42980328,-98.54500668,0,1,250,-1
19552156,2023,29.42134497,-98.52320231,0,1,250,-1
19554425,2023,29.39530362,-98.43190872,1,0,250,-1
19600736,2023,29.58153682,-98.36789592,0,1,250,-1
19600744,2023,29.42418461,-98.48998295,0,1,250,-1
19608790,2023,29.52092289,-98.39450231,1,0,250,-1
19626887,2023,29.40548824,-98.40545688,0,1,250,-1
19641487,2023,29.47529961,-98.58228248,0,1,250,-1
19685326,2023,29.35779499,-98.50390231,0,1,250,-1
19686223,2023,29.41574119,-98.55770537,1,0,250,-1
19719079,2023,29.35453025,-98.40095862,0,1,250,-1
19728812,2023,29.51471393,-98.55667914,0,1,250,-1
19737375,2023,29.51728495,-98.48535842,0,1,250,-1
19740816,2023,29.43936497,-98.57573229,0,1,250,-1
19781274,2023,29.38513335,-98.47045164,1,0,250,-1
19812918,2023,29.56280494,-98.38291234,0,1,250,-1
19834468,2023,29.42793208,-98.55447037,1,0,250,-1
19843892,2023,29.40385497,-98.46123232,0,1,250,-1
19846203,2023,29.60756736,-98.52708669,1,0,250,-1
19886439,2023,29.45097547,-98.54682237,0,1,250,-1
19886479,2023,29.50848896,-98.37026704,0,1,250,-1
19980922,2024,29.42693866,-98.57229298,0,1,250,-1
20013870,2024,29.35621499,-98.61564229,0,1,250,-1
20033596,2024,29.35722192,-98.62218643,0,1,250,-1
20037935,2024,29.33556181,-98.45349578,1,0,250,-1
20043829,2024,29.42703497,-98.5608123,0,1,250,-1
20045954,2024,29.29682737,-98.47608232,0,1,250,-1
20046105,2024,29.56444097,-98.48247293,0,1,250,-1
20047884,2024,29.28304454,-98.3991035,0,1,250,-1
20073977,2024,29.43353641,-98.48730098,0,1,250,-1
20121055,2024,29.52886495,-98.50050231,0,1,250,-1
20123688,2024,29.394747,-98.65807517,0,1,250,-1
20154176,2024,29.52050745,-98.50504964,0,1,250,-1
20198215,2024,29.44947264,-98.42342232,0,1,250,-1
20202028,2024,29.45993496,-98.49932231,0,1,250,-1
20258650,2024,29.4495974,-98.52437231,1,0,250,-1
20270302,2024,29.35385877,-98.42407344,1,0,250,-1
20298414,2024,29.43085497,-98.62579228,0,1,250,-1
20334599,2024,29.32321145,-98.43291037,1,0,250,-1
20340999,2024,29.51089606,-98.40697059,0,1,250,0
20341297,2024,29.3566011,-98.51759777,0,1,250,4
20364680,2024,29.49409637,-98.70474457,0,1,250,-1
20366218,2024,29.37335801,-98.51531817,0,1,250,-1
20368088,2024,29.44051363,-98.4806191,0,1,250,-1
20375061,2024,29.43092802,-98.56331164,1,0,250,-1
20382379,2024,29.54736443,-98.37478225,0,1,250,-1
20389091,2024,29.48804996,-98.59686729,1,0,250,-1
20397058,2024,29.49893293,-98.56460433,0,1,250,-1
20407728,2024,29.32298807,-98.47818074,0,1,250,-1
20413497,2024,29.37302303,-98.48150108,0,1,250,-1
20439104,2024,29.34466499,-98.50387231,0,1,250,-1
20467405,2024,29.42646497,-98.48974231,0,1,250,1
20479259,2024,29.39884952,-98.51311581,0,1,250,-1
20492452,2024,29.42643497,-98.49315231,0,1,250,1
20502122,2024,29.47977418,-98.54125559,0,1,250,-1
20504324,2024,29.43980291,-98.52752969,0,1,250,-1
20558764,2024,29.34276701,-98.55330563,0,1,250,-1
20559642,2024,29.49400496,-98.43505726,0,1,250,-1
20560362,2024,29.42584497,-98.46563232,0,1,250,-1
20580237,2024,29.55903494,-98.46150232,0,1,250,-1
20606789,2025,29.31085991,-98.4742475,0,1,250,-1
20634686,2025,29.43149343,-98.56097534,1,0,250,-1
20676091,2025,29.49735581,-98.34922439,0,1,250,-1
20684528,2025,29.49655495,-98.38905701,0,1,250,-1
20709191,2025,29.42989497,-98.5658323,1,0,250,-1
20712851,2025,29.48565497,-98.59377229,0,1,250,-1
20735073,2025,29.55519135,-98.38255314,1,0,250,-1
20750252,2025,29.43018497,-98.47326232,0,1,250,-1
20805389,2025,29.35671904,-98.48670972,0,1,250,-1
20869086,2025,29.43183804,-98.47969395,0,1,250,-1
20917180,2025,29.40197626,-98.40543973,0,1,250,-1
21003710,2025,29.35589232,-98.56267756,0,1,250,-1
21021506,2025,29.55554836,-98.40636892,0,1,250,-1
21060036,2025,29.44064497,-98.49298231,0,1,250,2
